tier_index,level_requirement,scenario,ttk_seconds,ttd_seconds,expected_damage_dealt,expected_damage_taken,attack_interval_seconds
8,70,heavyPlus0,16,24,92.5,19.223,1
8,70,lightPlus0,9,9,123.099,40.32,0.75
8,70,heavyPlus31,12,26,124,17.6,1
8,70,lightPlus31,6,9,188.8,38.891,0.75
8,70,light_plus0_with_food_and_potion,7.66,13.557,123.099,40.32,0.75
9,80,noGear,35,6,47.799,95.95,1
9,80,heavyPlus0,16,25,104.5,20.956,1
9,80,lightPlus0,9,9,137.799,43.555,0.75
9,80,heavyPlus31,12,27,139.6,19.337,1
9,80,lightPlus31,6,9,209.8,42.138,0.75
9,80,light_plus0_with_food_and_potion,7.732,14.166,137.799,43.555,0.75
10,90,noGear,34,6,54.8,102.799,1
10,90,heavyPlus0,16,26,117.799,22.382,1
10,90,lightPlus0,9.75,9.75,152.899,46.446,0.75
10,90,heavyPlus31,12,28,156.5,20.768,1
10,90,lightPlus31,6.75,9.75,231.201,45.035,0.75
10,90,light_plus0_with_food_and_potion,8.348,15.24,152.899,46.446,0.75
11,100,noGear,34,6,61.401,109.65,1
11,100,heavyPlus0,16,26,130.7,24.799,1
11,100,lightPlus0,9.75,9.75,167.6,50.762,0.75
11,100,heavyPlus31,12,28,173.901,22.837,1
11,100,lightPlus31,6.75,9.75,251.299,48.87,0.75
11,100,light_plus0_with_food_and_potion,8.078,19.354,167.6,50.762,0.75
12,110,noGear,34,6,68.401,116.5,1
12,110,heavyPlus0,16,27,144.901,26.223,1
12,110,lightPlus0,9.75,9.75,184.5,53.651,0.75
12,110,heavyPlus31,12,29,192.6,24.269,1
12,110,lightPlus31,6.75,10.5,276.3,51.769,0.75
12,110,light_plus0_with_food_and_potion,8.173,19.535,184.5,53.651,0.75
13,120,noGear,33,7,76.199,122.5,1
13,120,heavyPlus0,16,28,160.8,27.337,1
13,120,lightPlus0,9.75,10.5,203.1,56.194,0.75
13,120,heavyPlus31,12,30,213,25.396,1
13,120,lightPlus31,6.75,10.5,303,54.321,0.75
13,120,light_plus0_with_food_and_potion,8.228,20.577,203.1,56.194,0.75
14,130,noGear,33,7,83.599,129.351,1
14,130,heavyPlus0,16,29,177.2,28.436,1
14,130,lightPlus0,9.75,10.5,222.2,58.62,0.75
14,130,heavyPlus31,12,31,235.7,26.199,1
14,130,lightPlus31,6.75,11.25,330.2,56.762,0.75
14,130,light_plus0_with_food_and_potion,8.173,20.927,222.2,58.62,0.75
15,140,noGear,33,7,91,137.05,1
15,140,heavyPlus0,16,30,194.5,29.523,1
15,140,lightPlus0,9.75,11.25,242.199,61.402,0.75
15,140,heavyPlus31,12,32,258.398,27.31,1
15,140,lightPlus31,6.75,11.25,359.199,59.557,0.75
15,140,light_plus0_with_food_and_potion,8.132,21.999,242.199,61.402,0.75
16,150,noGear,33,7,98.401,144.751,1
16,150,heavyPlus0,15,30,212.699,31.582,1
16,150,lightPlus0,9.75,11.25,263.1,65.582,0.75
16,150,heavyPlus31,12,32,283.798,29.043,1
16,150,lightPlus31,6.75,11.25,390,63.269,0.75
16,150,light_plus0_with_food_and_potion,8.105,22.114,263.1,65.582,0.75
