tier_index,level_requirement,skill,action_seconds,overhead_seconds,effective_cycle_seconds,proposed_respawn_seconds,minimum_cluster_nodes_per_active_player
15,140,smithing,4.12,8,12.12,,
15,140,skinning,3.28,6,9.28,,
15,140,tailoring,3.56,7,10.56,,
15,140,cooking,3.56,7,10.56,,
15,140,alchemy,3.76,7,10.76,,
16,150,mining,7.4,2.4,9.8,89,10
16,150,woodcutting,6.9,2.4,9.3,81,9
16,150,gathering,5.7,2.4,8.1,71,9
16,150,fishing,3.5,2,5.5,,
16,150,smithing,4.3,8,12.3,,
16,150,skinning,3.4,6,9.4,,
16,150,tailoring,3.7,7,10.7,,
16,150,cooking,3.7,7,10.7,,
16,150,alchemy,3.9,7,10.9,,
