tier_index,level_requirement,skill,target_minutes_per_level,effective_cycle_seconds,target_actions_per_level,xp_per_action,modeled_minutes_per_level,modeled_xp_per_hour
6,50,tailoring,30,9.3,194,559,30.05,216387
6,50,cooking,30,9.3,194,559,30.05,216387
6,50,alchemy,30,9.5,189,573,29.94,217137
7,60,combat,42,18,140,1923,42,384600
7,60,mining,42,7.28,346,778,41.99,384725
7,60,woodcutting,42,6.96,362,744,41.98,384828
7,60,gathering,42,6.12,412,653,42.05,384118
7,60,fishing,42,5.5,458,588,41.97,384873
7,60,smithing,42,10.68,236,1141,42,384607
7,60,skinning,42,8.32,303,889,41.99,384663
7,60,tailoring,42,9.44,267,1008,42.02,384407
7,60,cooking,42,9.44,267,1008,42.02,384407
7,60,alchemy,42,9.64,261,1031,41.95,385021
8,70,combat,60,19,189,2280,60,432000
8,70,mining,60,7.56,476,908,59.95,432381
8,70,woodcutting,60,7.22,499,866,60.03,431801
8,70,gathering,60,6.34,568,761,59.98,432114
8,70,fishing,60,5.5,655,660,60,432000
8,70,smithing,60,10.86,331,1305,59.92,432597
8,70,skinning,60,8.44,427,1012,60.05,431659
8,70,tailoring,60,9.58,376,1149,60.03,431775
8,70,cooking,60,9.58,376,1149,60.03,431775
8,70,alchemy,60,9.78,368,1174,59.98,432147
9,80,combat,78,19,246,2603,78,493200
9,80,mining,78,7.84,597,1074,78.01,493163
9,80,woodcutting,78,7.48,626,1024,78.06,492834
9,80,gathering,78,6.56,713,899,77.98,493354
9,80,fishing,78,5.5,851,753,78.05,492873
9,80,smithing,78,11.04,424,1512,78.02,493043
9,80,skinning,78,8.56,547,1172,78.05,492897
9,80,tailoring,78,9.72,481,1333,77.92,493704
9,80,cooking,78,9.72,481,1333,77.92,493704
9,80,alchemy,78,9.92,472,1358,78.06,492823
10,90,combat,96,19,303,2916,96,552505
10,90,mining,96,8.12,709,1247,95.94,552857
10,90,woodcutting,96,7.74,744,1188,95.99,552558
10,90,gathering,96,6.78,850,1040,96.05,552212
10,90,fishing,96,5.5,1047,844,96.01,552436
10,90,smithing,96,11.22,513,1723,95.94,552834
10,90,skinning,96,8.68,664,1331,96.08,552028
10,90,tailoring,96,9.86,584,1514,95.95,552779
10,90,cooking,96,9.86,584,1514,95.95,552779
10,90,alchemy,96,10.06,573,1543,96.06,552167
11,100,combat,120,19,379,3230,120,612000
11,100,mining,120,8.4,857,1428,120,612000
11,100,woodcutting,120,8,900,1360,120,612000
11,100,gathering,120,7,1029,1190,120,612000
11,100,fishing,120,5.5,1309,935,120,612000
11,100,smithing,120,11.4,632,1937,120.06,611684
11,100,skinning,120,8.8,818,1496,120,612000
11,100,tailoring,120,10,720,1700,120,612000
11,100,cooking,120,10,720,1700,120,612000
11,100,alchemy,120,10.2,706,1734,120,612000
12,110,combat,144,19,455,3542,144,671116
12,110,mining,144,8.68,995,1619,143.92,671475
12,110,woodcutting,144,8.26,1046,1540,143.98,671186
12,110,gathering,144,7.22,1197,1346,144,671136
12,110,fishing,144,5.5,1571,1025,144.04,670909
12,110,smithing,144,11.58,746,2159,143.98,671192
12,110,skinning,144,8.92,969,1662,144.08,670762
12,110,tailoring,144,10.14,852,1890,144.02,671006
12,110,cooking,144,10.14,852,1890,144.02,671006
12,110,alchemy,144,10.34,836,1927,144.04,670909
13,120,combat,168,19,531,3845,168,728526
13,120,mining,168,8.96,1125,1813,168.02,728437
13,120,woodcutting,168,8.52,1183,1724,168.02,728451
13,120,gathering,168,7.44,1355,1505,168.07,728226
13,120,fishing,168,5.5,1833,1113,168,728509
13,120,smithing,168,11.76,857,2380,167.99,728571
13,120,skinning,168,9.04,1115,1829,168.04,728363
13,120,tailoring,168,10.28,981,2079,168.11,728054
13,120,cooking,168,10.28,981,2079,168.11,728054
13,120,alchemy,168,10.48,962,2120,168.07,728244
14,130,combat,192,19,606,4174,192,790863
14,130,mining,192,9.24,1247,2029,192.08,790519
14,130,woodcutting,192,8.78,1312,1929,191.98,790934
14,130,gathering,192,7.66,1504,1683,191.98,790966
14,130,fishing,192,5.5,2095,1208,192.04,790691
14,130,smithing,192,11.94,965,2623,192,790854
14,130,skinning,192,9.16,1258,2012,192.03,790742
14,130,tailoring,192,10.42,1106,2288,192.09,790480
14,130,cooking,192,10.42,1106,2288,192.09,790480
14,130,alchemy,192,10.62,1085,2332,192.09,790508
15,140,combat,216,19,682,4531,216,858505
15,140,mining,216,9.52,1361,2271,215.93,858782
15,140,woodcutting,216,9.04,1434,2155,216.08,858186
15,140,gathering,216,7.88,1645,1879,216.02,858426
15,140,fishing,216,5.5,2356,1312,215.94,858764
15,140,smithing,216,12.12,1069,2891,215.95,858713
15,140,skinning,216,9.28,1397,2212,216.1,858103
15,140,tailoring,216,10.56,1227,2519,215.94,858750
15,140,cooking,216,10.56,1227,2519,215.94,858750
15,140,alchemy,216,10.76,1204,2567,215.91,858848
16,150,combat,216,18,677,4919,202.97,983800
16,150,mining,216,9.8,1322,2517,215.96,924612
16,150,woodcutting,216,9.3,1394,2387,216.1,924000
16,150,gathering,216,8.1,1600,2080,216,924444
16,150,fishing,216,5.5,2356,1413,215.9,924873
16,150,smithing,216,12.3,1054,3157,216.1,924000
16,150,skinning,216,9.4,1379,2413,216.07,924128
16,150,tailoring,216,10.7,1211,2748,215.97,924561
16,150,cooking,216,10.7,1211,2748,215.97,924561
16,150,alchemy,216,10.9,1189,2799,216,924440
