level,xp_to_next,cumulative_xp,target_cumulative_hours,target_minutes_per_level,benchmark_combat_cycle_seconds,benchmark_combat_xp_per_hour
105,1224005,31374859,70.5,120,20,612000
106,1234080,32598864,72.5,120,20,617040
107,1244160,33832944,74.5,120,20,622080
108,1254600,35077104,76.5,120,20,627300
109,1264680,36331704,78.5,120,20,632340
110,1610678,37596384,80.5,144,19,671116
111,1624320,39207062,82.9,144,19,676800
112,1637507,40831382,85.3,144,19,682295
113,1651149,42468889,87.7,144,19,687979
114,1664792,44120038,90.1,144,19,693663
115,1664793,45784830,92.5,144,20,664380
116,1664794,47449623,94.9,144,20,669780
117,1664795,49114417,97.3,144,20,675360
118,1664796,50779212,99.7,144,20,680940
119,1664797,52444008,102.1,144,20,686520
120,2039874,54108805,104.5,168,19,728526
121,2056851,56148679,107.3,168,19,734589
122,2073827,58205530,110.1,168,19,740653
123,2090804,60279357,112.9,168,19,746716
124,2108312,62370161,115.7,168,19,752968
125,2125288,64478473,118.5,168,19,759032
126,2142796,66603761,121.3,168,19,765284
127,2160834,68746557,124.1,168,19,771726
128,2178341,70907391,126.9,168,19,777979
129,2196379,73085732,129.7,168,19,784421
130,2530762,75282111,132.5,192,19,790863
131,2551983,77812873,135.7,192,19,797495
132,2572598,80364856,138.9,192,19,803937
133,2593819,82937454,142.1,192,19,810568
134,2615646,85531273,145.3,192,19,817389
135,2636867,88146919,148.5,192,19,824021
136,2658695,90783786,151.7,192,19,830842
137,2680522,93442481,154.9,192,19,837663
138,2702956,96123003,158.1,192,19,844674
139,2724783,98825959,161.3,192,19,851495
140,3090619,101550742,164.5,216,19,858505
141,3116539,104641361,168.1,216,19,865705
142,3141777,107757900,171.7,216,19,872716
143,3167697,110899677,175.3,216,19,879916
144,3194299,114067374,178.9,216,19,887305
145,3220219,117261673,182.5,216,19,894505
146,3246821,120481892,186.1,216,19,901895
147,3273423,123728713,189.7,216,19,909284
148,3300707,127002136,193.3,216,19,916863
149,3327992,130302843,196.9,216,19,924442
150,,133630835,200.5,216,,
